PassengerId,Survived,Pclass,Sex_encoded,Age,Age_scaled,SibSp,Parch,Fare,Fare_scaled,Has_Cabin,Embarked_C,Embarked_Q,Embarked_S,Pclass_norm,familySize,farePerPerson,isAlone,isChild,isBaby,isToddler,isTeen,isYoungAdult,isMiddleAge,isElderly,family_Alone,family_Small,family_Medium,family_Large,fare_Economy,fare_Standard,fare_Premium,fare_Luxury,title_Mr,title_Mrs,title_Miss,title_Master,title_Noble,title_Professional,title_Military,title_Other,age_class_interaction,fare_class_interaction,family_class_interaction,child_female_interaction,deck_Unknown,deck_Rare,women_children_first,status_Lower,status_Middle,status_Upper,age_squared,age_log,fare_log,fare_squared,long_name,has_shared_ticket,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F
17,0,3,1,2.0,-2.1015530111980416,4,1,29.125,-0.061964087717411374,0,0,1,0,1.0,6,4.854166666666667,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6.0,14.5625,18,0,1,0,1,1,0,0,4.0,1.0986122886681098,3.405355391810819,848.265625,0,1,0,0,0,0,0,0
18,1,2,1,28.0,-0.10457866558193422,0,0,13.0,-0.38645367226008004,0,0,0,1,0.5,1,13.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,56.0,26.0,2,0,1,0,0,0,1,0,784.0,3.367295829986474,2.6390573296152584,169.0,0,0,0,0,0,0,0,0
19,0,3,0,31.0,0.12584145121992435,1,0,18.0,-0.28583674682049287,0,0,0,1,1.0,2,9.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,93.0,27.0,6,0,1,0,1,1,0,0,961.0,3.4657359027997265,2.9444389791664403,324.0,1,0,0,0,0,0,0,0
20,1,3,0,28.0,-0.10457866558193422,0,0,7.225,-0.5026662211428032,0,1,0,0,1.0,1,7.225,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,84.0,21.674999999999997,3,0,1,0,1,1,0,0,784.0,3.367295829986474,2.1071782966514356,52.200624999999995,0,0,0,0,0,0,0,0
21,0,2,1,35.0,0.4330682736224024,0,0,26.0,-0.12484966611715337,0,0,0,1,0.5,1,26.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,70.0,52.0,2,0,1,0,0,0,1,0,1225.0,3.58351893845611,3.295836866004329,676.0,0,1,0,0,0,0,0,0
22,1,2,1,34.0,0.3562615680217829,0,0,13.0,-0.38645367226008004,1,0,0,1,0.5,1,13.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,68.0,26.0,2,0,0,0,0,0,1,0,1156.0,3.5553480614894135,2.6390573296152584,169.0,0,0,0,0,0,1,0,0
23,1,3,0,15.0,-1.103065838389988,0,0,8.0292,-0.48648299485510005,0,0,1,0,1.0,1,8.0292,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,45.0,24.0876,3,0,1,0,1,1,0,0,225.0,2.772588722239781,2.2004637699272855,64.46805264,0,0,0,0,0,0,0,0
24,1,1,1,28.0,-0.10457866558193422,0,0,35.5,0.06632249221806229,1,0,0,1,0.0,1,35.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,28.0,35.5,1,0,0,0,0,0,1,0,784.0,3.367295829986474,3.597312260588446,1260.25,0,0,1,0,0,0,0,0
25,0,3,0,8.0,-1.6407127775943247,3,1,21.075,-0.22395733767514675,0,0,0,1,1.0,5,4.215,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,24.0,12.645,15,1,1,0,1,1,0,0,64.0,2.1972245773362196,3.0944457464900235,444.155625,0,1,0,0,0,0,0,0
26,1,3,0,38.0,0.663488390424261,1,5,31.3875,-0.016434928955998185,0,0,0,1,1.0,7,4.483928571428572,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,114.0,13.451785714285716,21,0,1,0,1,1,0,0,1444.0,3.6635616461296463,3.4777725458882283,985.17515625,1,1,0,0,0,0,0,0
27,0,3,1,28.0,-0.10457866558193422,0,0,7.225,-0.5026662211428032,0,1,0,0,1.0,1,7.225,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,84.0,21.674999999999997,3,0,1,0,0,1,0,0,784.0,3.367295829986474,2.1071782966514356,52.200624999999995,0,0,0,0,0,0,0,0
28,0,1,1,19.0,-0.79583901598751,3,2,263.0,4.644392599719279,1,0,0,1,0.0,6,43.833333333333336,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,19.0,43.833333333333336,6,0,0,0,0,0,1,0,361.0,2.995732273553991,5.575949103146316,69169.0,0,1,0,0,1,0,0,0
29,1,3,0,28.0,-0.10457866558193422,0,0,7.8792,-0.4895015026182876,0,0,1,0,1.0,1,7.8792,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,84.0,23.6376,3,0,1,0,1,1,0,0,784.0,3.367295829986474,2.1837114628556327,62.081792639999996,0,0,0,0,0,0,0,0
30,0,3,1,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,0,0,1,1.0,1,7.8958,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,84.0,23.6874,3,0,1,0,0,1,0,0,784.0,3.367295829986474,2.1855792552411137,62.34365764,0,0,0,0,0,0,0,0
31,0,1,1,40.0,0.8171018016255001,0,0,27.7208,-0.09022134505786503,0,1,0,0,0.0,1,27.7208,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,40.0,27.7208,1,0,1,0,0,0,0,1,1600.0,3.713572066704308,3.357621598945279,768.44275264,0,0,0,0,0,0,0,0
32,1,1,0,28.0,-0.10457866558193422,1,0,146.5208,2.300436803386727,1,1,0,0,0.0,2,73.2604,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,28.0,73.2604,2,0,0,0,1,0,1,0,784.0,3.367295829986474,4.993969182787072,21468.344832640003,1,1,0,1,0,0,0,0
33,1,3,0,28.0,-0.10457866558193422,0,0,7.75,-0.49210144397164657,0,0,1,0,1.0,1,7.75,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,84.0,23.25,3,0,1,0,1,1,0,0,784.0,3.367295829986474,2.169053700369523,60.0625,0,0,0,0,0,0,0,0
34,0,2,1,66.0,2.8140761472416074,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5,1,10.5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,132.0,21.0,2,0,1,0,0,0,1,0,4356.0,4.204692619390966,2.4423470353692043,110.25,0,0,0,0,0,0,0,0
35,0,1,1,28.0,-0.10457866558193422,1,0,82.1708,1.0054969729792393,0,1,0,0,0.0,2,41.0854,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,28.0,41.0854,2,0,1,0,0,0,1,0,784.0,3.367295829986474,4.420896324687287,6752.04037264,0,1,0,0,0,0,0,0
36,0,1,1,42.0,0.970715212826739,1,0,52.0,0.39835834616870003,0,0,0,1,0.0,2,26.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42.0,26.0,2,0,1,0,0,0,1,0,1764.0,3.7612001156935624,3.970291913552122,2704.0,0,1,0,0,0,0,0,0
37,1,3,1,28.0,-0.10457866558193422,0,0,7.2292,-0.502581702925434,0,1,0,0,1.0,1,7.2292,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,84.0,21.6876,3,0,1,0,0,1,0,0,784.0,3.367295829986474,2.1076888046179385,52.26133263999999,0,0,0,0,0,0,0,0
38,0,3,1,21.0,-0.6422256047862709,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0,1,8.05,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,63.0,24.150000000000002,3,0,1,0,0,1,0,0,441.0,3.091042453358316,2.2027647577118348,64.80250000000001,0,0,0,0,0,0,0,0
39,0,3,0,18.0,-0.8726457215881294,2,0,18.0,-0.28583674682049287,0,0,0,1,1.0,3,6.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,54.0,18.0,9,0,1,0,1,1,0,0,324.0,2.9444389791664403,2.9444389791664403,324.0,1,1,0,0,0,0,0,0
40,1,3,0,14.0,-1.1798725439906075,1,0,11.2417,-0.4218366202601652,0,1,0,0,1.0,2,5.62085,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,42.0,16.86255,6,0,1,0,1,1,0,0,196.0,2.70805020110221,2.5048481563289,126.37581888999999,0,1,0,0,0,0,0,0
41,0,3,0,40.0,0.8171018016255001,1,0,9.475,-0.457388604694989,0,0,0,1,1.0,2,4.7375,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,120.0,14.212499999999999,6,0,1,0,1,1,0,0,1600.0,3.713572066704308,2.348991465808201,89.77562499999999,1,0,0,0,0,0,0,0
42,0,2,0,27.0,-0.18138537118255374,1,0,21.0,-0.22546659155674054,0,0,0,1,0.5,2,10.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,54.0,21.0,4,0,1,0,1,0,1,0,729.0,3.332204510175204,3.091042453358316,441.0,1,1,0,0,0,0,0,0
43,0,3,1,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,1,0,0,1.0,1,7.8958,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,84.0,23.6874,3,0,1,0,0,1,0,0,784.0,3.367295829986474,2.1855792552411137,62.34365764,0,0,0,0,0,0,0,0
44,1,2,0,3.0,-2.0247463055974224,1,2,41.5792,0.18865657484452997,0,1,0,0,0.5,4,10.3948,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6.0,20.7896,8,1,1,0,1,0,1,0,9.0,1.3862943611198906,3.7513658711253766,1728.82987264,1,1,0,0,0,0,0,0
45,1,3,0,19.0,-0.79583901598751,0,0,7.8792,-0.4895015026182876,0,0,1,0,1.0,1,7.8792,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,57.0,23.6376,3,0,1,0,1,1,0,0,361.0,2.995732273553991,2.1837114628556327,62.081792639999996,0,0,0,0,0,0,0,0
46,0,3,1,28.0,-0.10457866558193422,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0,1,8.05,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,84.0,24.150000000000002,3,0,1,0,0,1,0,0,784.0,3.367295829986474,2.2027647577118348,64.80250000000001,0,0,0,0,0,0,0,0
47,0,3,1,28.0,-0.10457866558193422,1,0,15.5,-0.3361452095402864,0,0,1,0,1.0,2,7.75,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,84.0,23.25,6,0,1,0,0,1,0,0,784.0,3.367295829986474,2.803360380906535,240.25,0,0,0,0,0,0,0,0
48,1,3,0,28.0,-0.10457866558193422,0,0,7.75,-0.49210144397164657,0,0,1,0,1.0,1,7.75,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,84.0,23.25,3,0,1,0,1,1,0,0,784.0,3.367295829986474,2.169053700369523,60.0625,0,0,0,0,0,0,0,0
49,0,3,1,28.0,-0.10457866558193422,2,0,21.6792,-0.211798788405027,0,1,0,0,1.0,3,7.226400000000001,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,84.0,21.6792,9,0,1,0,0,1,0,0,784.0,3.367295829986474,3.1214482048688246,469.98771264000004,0,0,0,0,0,0,0,0
50,0,3,0,18.0,-0.8726457215881294,1,0,17.8,-0.28986142383807634,0,0,0,1,1.0,2,8.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,54.0,26.700000000000003,6,0,1,0,1,1,0,0,324.0,2.9444389791664403,2.9338568698359038,316.84000000000003,1,1,0,0,0,0,0,0
51,0,3,1,7.0,-1.717519483194944,4,1,39.6875,0.15058916727371655,0,0,0,1,1.0,6,6.614583333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,21.0,19.84375,18,0,1,0,1,1,0,0,49.0,2.0794415416798357,3.705920919968788,1575.09765625,0,1,0,0,0,0,0,0
52,0,3,1,21.0,-0.6422256047862709,0,0,7.8,-0.49109527471725073,0,0,0,1,1.0,1,7.8,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,63.0,23.4,3,0,1,0,0,1,0,0,441.0,3.091042453358316,2.174751721484161,60.839999999999996,0,0,0,0,0,0,0,0
53,1,1,0,49.0,1.5083621520310757,1,0,76.7292,0.895993560684828,1,1,0,0,0.0,2,38.3646,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,49.0,38.3646,2,0,0,0,1,0,1,0,2401.0,3.912023005428146,4.353230991152628,5887.3701326400005,1,1,0,0,0,1,0,0
54,1,2,0,29.0,-0.027771959981314702,1,0,26.0,-0.12484966611715337,0,0,0,1,0.5,2,13.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,58.0,26.0,4,0,1,0,1,0,1,0,841.0,3.4011973816621555,3.295836866004329,676.0,1,0,0,0,0,0,0,0
55,0,1,1,65.0,2.737269441640988,0,1,61.9792,0.5991736306380456,1,1,0,0,0.0,2,30.9896,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,65.0,30.9896,2,0,0,0,0,0,1,0,4225.0,4.189654742026425,4.142804513146981,3841.4212326399997,0,0,0,1,0,0,0,0
56,1,1,1,28.0,-0.10457866558193422,0,0,35.5,0.06632249221806229,1,0,0,1,0.0,1,35.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,28.0,35.5,1,0,0,0,0,0,1,0,784.0,3.367295829986474,3.597312260588446,1260.25,0,0,0,0,1,0,0,0
57,1,2,0,21.0,-0.6422256047862709,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5,1,10.5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,42.0,21.0,2,0,1,0,1,0,1,0,441.0,3.091042453358316,2.4423470353692043,110.25,0,0,0,0,0,0,0,0
58,0,3,1,28.5,-0.06617531278162446,0,0,7.2292,-0.502581702925434,0,1,0,0,1.0,1,7.2292,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,85.5,21.6876,3,0,1,0,0,1,0,0,812.25,3.3843902633457743,2.1076888046179385,52.26133263999999,0,0,0,0,0,0,0,0
59,1,2,0,5.0,-1.8711328943961831,1,2,27.75,-0.08963374221329785,0,0,0,1,0.5,4,6.9375,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,10.0,13.875,8,1,1,0,1,0,1,0,25.0,1.791759469228055,3.3586377672433594,770.0625,0,1,0,0,0,0,0,0
60,0,3,1,11.0,-1.410292660792466,5,2,46.9,0.29572908222032107,0,0,0,1,1.0,8,5.8625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,33.0,17.5875,24,0,1,0,1,1,0,0,121.0,2.4849066497880004,3.8691155044168695,2199.6099999999997,1,1,0,0,0,0,0,0
61,0,3,1,22.0,-0.5654188991856514,0,0,7.2292,-0.502581702925434,0,1,0,0,1.0,1,7.2292,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,66.0,21.6876,3,0,1,0,0,1,0,0,484.0,3.1354942159291497,2.1076888046179385,52.26133263999999,0,0,0,0,0,0,0,0
62,1,1,0,38.0,0.663488390424261,0,0,80.0,0.9618131286303883,1,0,0,1,0.0,1,80.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,38.0,80.0,1,0,0,0,1,0,1,0,1444.0,3.6635616461296463,4.394449154672439,6400.0,0,1,0,1,0,0,0,0
63,0,1,1,45.0,1.2011353296285976,1,0,83.475,1.0317418918109011,1,0,0,1,0.0,2,41.7375,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,45.0,41.7375,2,0,0,0,0,0,1,0,2025.0,3.828641396489095,4.436455632600354,6968.0756249999995,0,1,0,0,1,0,0,0
64,0,3,1,4.0,-1.9479395999968028,3,2,27.9,-0.08661523445011025,0,0,0,1,1.0,6,4.6499999999999995,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,12.0,13.95,18,0,1,0,1,1,0,0,16.0,1.6094379124341003,3.3638415951183864,778.41,0,1,0,0,0,0,0,0
65,0,1,1,28.0,-0.10457866558193422,0,0,27.7208,-0.09022134505786503,0,1,0,0,0.0,1,27.7208,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,28.0,27.7208,1,0,1,0,0,0,1,0,784.0,3.367295829986474,3.357621598945279,768.44275264,0,0,0,0,0,0,0,0
66,1,3,1,28.0,-0.10457866558193422,1,1,15.2458,-0.34126057402963506,0,1,0,0,1.0,3,5.081933333333333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,84.0,15.2458,9,0,1,0,0,1,0,0,784.0,3.367295829986474,2.7878344138303452,232.43441763999996,0,1,0,0,0,0,0,0
67,1,2,0,29.0,-0.027771959981314702,0,0,10.5,-0.43676213497987365,1,0,0,1,0.5,1,10.5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,58.0,21.0,2,0,0,0,1,0,1,0,841.0,3.4011973816621555,2.4423470353692043,110.25,0,0,0,0,0,0,0,1
68,0,3,1,19.0,-0.79583901598751,0,0,8.1583,-0.4838850658402499,0,0,0,1,1.0,1,8.1583,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,57.0,24.4749,3,0,1,0,0,1,0,0,361.0,2.995732273553991,2.2146605719425225,66.55785889,0,0,0,0,0,0,0,0
69,1,3,0,17.0,-0.9494524271887489,4,2,7.925,-0.48857985158126105,0,0,0,1,1.0,7,1.1321428571428571,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,51.0,3.3964285714285714,21,0,1,0,1,1,0,0,289.0,2.8903717578961645,2.188856327665703,62.805625,1,0,0,0,0,0,0,0
70,0,3,1,26.0,-0.25819207678317324,2,0,8.6625,-0.4737388550789219,0,0,0,1,1.0,3,2.8874999999999997,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,78.0,8.6625,9,0,1,0,0,1,0,0,676.0,3.295836866004329,2.2682524139135403,75.03890625,0,0,0,0,0,0,0,0
71,0,2,1,32.0,0.20264815682054385,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5,1,10.5,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,64.0,21.0,2,0,1,0,0,0,1,0,1024.0,3.4965075614664802,2.4423470353692043,110.25,0,0,0,0,0,0,0,0
72,0,3,0,16.0,-1.0262591327893684,5,2,46.9,0.29572908222032107,0,0,0,1,1.0,8,5.8625,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,48.0,17.5875,24,0,1,0,1,1,0,0,256.0,2.833213344056216,3.8691155044168695,2199.6099999999997,0,1,0,0,0,0,0,0
73,0,2,1,21.0,-0.6422256047862709,0,0,73.5,0.8310111255589249,0,0,0,1,0.5,1,73.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,42.0,147.0,2,0,1,0,0,0,1,0,441.0,3.091042453358316,4.310799125385514,5402.25,0,1,0,0,0,0,0,0
74,0,3,1,26.0,-0.25819207678317324,1,0,14.4542,-0.3571902456652305,0,1,0,0,1.0,2,7.2271,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,78.0,21.6813,6,0,1,0,0,1,0,0,676.0,3.295836866004329,2.737880811060884,208.92389764,0,0,0,0,0,0,0,0
75,1,3,1,32.0,0.20264815682054385,0,0,56.4958,0.48882906084695926,0,0,0,1,1.0,1,56.4958,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,96.0,169.4874,3,0,1,0,0,1,0,0,1024.0,3.4965075614664802,4.05171190165724,3191.7754176400003,0,1,0,0,0,0,0,0
